Type,State,Name of Facility (consistent with State license where relevant),Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category - To facilitate calculation of second-tier default benefits by insurers, the department has categorised all declared private hospitals into the following categories:"
PRIVATE,NSW,HARLEY PLACE DAY SURGERY,0894851X,"SUITE 605, HARLEY PLACE, 251 OXFORD STREET",BONDI JUNCTION,2022,YES,27-12-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,WA,HARVEY DISTRICT HOSPITAL,0070350X,42 HAYWARD STREET,HARVEY,6220,NO,,
PUBLIC,SA,HAWKER MEMORIAL HOSPITAL,0060220A,CRADOCK ROAD,HAWKER,5434,NO,,
PRIVATE,NSW,HAWKESBURY DISTRICT HEALTH SERVICE,0017140B,2 DAY STREETS,WINDSOR,2756,YES,12-08-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,NSW,HAY DISTRICT HOSPITAL,0011410A,351 MURRAY STREET,HAY,2711,NO,,
PUBLIC,VIC,HEALESVILLE & DISTRICT HOSPITAL,0030500X,377 MAROONDAH HIGHWAY,HEALESVILLE,3777,NO,,
PRIVATE,WA,HEALTHE CARE MARIAN CENTRE,0075610X,187 CAMBRIDGE STREET,WEMBLEY,6014,YES,29-12-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,NSW,HEALTHWOODS ENDOSCOPY CENTRE,0027110T,53 COWPER STREET,GRANVILLE,2142,YES,12-04-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,HEATHCOTE HEALTH,0030510W,39 HOSPITAL STREET,HEATHCOTE,3523,NO,,
PUBLIC,WA,HEDLAND HEALTH CAMPUS,0071600J,2-24 COLEBATCH WAY,SOUTH HEDLAND,6722,NO,,
PRIVATE,VIC,HEIDELBERG ENDOSCOPY AND DAY SURGERY CENTRE,0899291W,177-179 NORTHERN ROAD,HEIDELBERG HEIGHTS,3081,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,HENTY MULTI PURPOSE SERVICE,0011430X,7 KEIGHRAN STREET,HENTY,2658,NO,,
PUBLIC,QLD,HERBERTON HOSPITAL,0050540A,23 GRACE STREET ,HERBERTON,4887,NO,,
PUBLIC,QLD,HERVEY BAY HOSPITAL,0051440X,CNR NISSEN STREET AND  URAWEEN ROADS,PIALBA,4655,NO,,
PRIVATE,QLD,HERVEY BAY SURGICAL HOSPITAL,0056060L,146-150 BOAT HARBOUR DRIVE,PIALBA,4655,YES,05-07-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,VIC,HESSE RURAL HEALTH SERVICE,0030100L,8 GOSNEY STREET,WINCHELSEA,3241,NO,,
PRIVATE,VIC,HEYFIELD HOSPITAL INC,0035330B,19 TYSON ROAD,HEYFIELD,3858,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,VIC,HEYWOOD RURAL HEALTH,0030520T,21 BARCLAY STREET,HEYWOOD,3304,NO,,
PRIVATE,QLD,HILLCREST - ROCKHAMPTON PRIVATE HOSPITAL,0055750W,4 TALFORD STREET,ROCKHAMPTON,4700,YES,19-06-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,NSW,HILLS PRIVATE HOSPITAL,0017320Y,499 WINDSOR ROAD,BAULKHAM HILLS,2153,YES,08-01-24,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,NSW,HILLSTON DISTRICT HOSPITAL,0011440W,48C BURNS STREET,HILLSTON,2675,NO,,
PRIVATE,NSW,HIRONDELLE PRIVATE HOSPITAL,0015550A,10 WYVERN AVENUE,CHATSWOOD,2067,YES,05-06-23,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,TAS,HOBART DAY SURGERY,0999271K,10 WARNEFORD STREET,HOBART,7004,YES,04-10-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,TAS,HOBART PRIVATE HOSPITAL,0085110A,CNR COLLINS & ARGYLE STREET,HOBART,7001,YES,01-12-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,TAS,HOBART SPECIALIST DAY HOSPITAL,0087070Y,"GROUND FLOOR, 2 MELVILLE STREET",HOBART,7000,YES ,22-04-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,HOLBROOK DISTRICT HOSPITAL,0011450T,22 BOWLER STREET,HOLBROOK,2644,NO,,
PRIVATE,WA,HOLLYWOOD PRIVATE HOSPITAL,0075490K,MONASH AVENUE,NEDLANDS,6009,YES,31-10-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,HOLMESGLEN PRIVATE HOSPITAL,0036350L,490 SOUTH ROAD,MOORABBIN,3189,YES,25-08-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,HOLROYD PRIVATE HOSPITAL,0015500K,123-129 CHETWYND ROAD,GUILDFORD,2161,YES,07-01-24,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,QLD,HOME HILL HOSPITAL,0050550Y,EIGHTH AVENUE,HOME HILL,4806,NO,,
PRIVATE,SA,HOME NURSES INFUSION CENTRE,0067090F,6 WATSON AVENUE,ROSE PARK,5067,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,HONEYSUCKLE DAY HOSPITAL,0027560K,"UNIT 2, 19 HONEYSUCKLE DRIVE",NEWCASTLE,2300,YES,16-09-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,HOPEWELL HOSPICE,0056050T,11 DUNKIRK CLOSE,ARUNDEL,4214,YES,21-06-22,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,NSW,HORNSBY KU-RING-GAI HOSPITAL,0010140T,36-76 PALMERSTON ROAD,HORNSBY,2077,NO,,
PUBLIC,QLD,HUGHENDEN HOSPITAL,0050560X,12 RICHMOND HILL DRIVE,HUGHENDEN,4821,NO,,
PRIVATE,QLD,HUMMINGBIRD HOUSE,0056190B,60 CURWEN TERRACE,CHERMSIDE,4032,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,NSW,HUNTER NEW ENGLAND MENTAL HEALTH SERVICE,0012890F,2-10 EDITH STREET,WARATAH,2298,NO,,
PRIVATE,NSW,HUNTER VALLEY PRIVATE HOSPITAL,0016490K,20 MAWSON STREET,SHORTLAND,2307,YES,26-08-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,NSW,HUNTERS HILL PRIVATE HOSPITAL,0015560Y,9 MOUNT STREET,HUNTERS HILL,2110,YES,10-01-23,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,TAS,HUON REGIONAL CARE,0085230T,3278 HUON HIGHWAY,FRANKLIN,7113,NO,,
PRIVATE,NSW,HURSTVILLE PRIVATE HOSPITAL,0015570X,37 GLOUCESTER ROAD,HURSTVILLE,2220,YES,30-09-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,VIC,HYPERBARIC HEALTH WOUND CENTRE BERWICK,0043930A,3 GIBB STREET,BERWICK,3806,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,HYPERBARIC HEALTH WOUND CENTRE BUNDOORA,0043980L,"LEVEL 2, LA TROBE PRIVATE HOSPITAL, CNR PLENTY ROAD AND KINGSBURY DRIVE",BUNDOORA,3083,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,ICON CANCER CARE ADELAIDE,0067150J,"SUITE 10, FIRST FLOOR, TENNYSON CENTRE, 520 SOUTH ROAD",KURRALTA PARK,5037,YES,23-08-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,ACT,ICON CANCER CENTRE CANBERRA,0097060H,UNIVERSITY OF CANBERRA MEDICAL CENTRE CORNER BROULA & ALLAWOONA STREETS,BRUCE,2617,YES,02-02-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,ICON CANCER CENTRE CHERMSIDE,0056080J,"CHERMSIDE MEDICAL CENTRE, 930-956 GYMPIE ROAD",CHERMSIDE,4032,YES,14-09-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,ICON CANCER CENTRE GEELONG,0037050W,1 EPWORTH PLACE,WAURN PONDS,3216,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,TAS,ICON CANCER CENTRE HOBART,0087060A,2 MELVILLE STREET,HOBART,7000,YES,16-02-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,ICON CANCER CENTRE MACKAY,0057510W,148 SAMS ROAD,MACKAY,4740,YES,16-02-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,ICON CANCER CENTRE MIDLAND,0077210X,6 CENTENNIAL PLACE,MIDLAND,6065,YES,30-09-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,ICON CANCER CENTRE MORELAND ,0044240X,275 MORELAND ROAD,COBURG,3058,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,ICON CANCER CENTRE NORTH LAKES,0057450L,9 MCLENNAN COURT,NORTH LAKES,4509,YES,05-02-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,ICON CANCER CENTRE REVESBY,0027510Y,1-3 MACARTHUR STREET,REVESBY,2212,YES,14-09-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,ICON CANCER CENTRE ROCKINGHAM,0077270H,2 CIVIC BOULEVARD,ROCKINGHAM ,6168,YES,23-08-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,ICON CANCER CENTRE SOUTH BRISBANE,0925691B,293 VULTURE STREET,SOUTH BRISBANE,4101,YES,14-09-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,ICON CANCER CENTRE SOUTHPORT,0057340X,"LEVEL 9, PREMION PLACE, 39 WHITE STREET",SOUTHPORT,4215,YES,14-09-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,ICON CANCER CENTRE TOWNSVILLE,0057400A,9-13 BAYSWATER ROAD,HYDE PARK,4812,YES,21-01-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,ICON CANCER CENTRE WESLEY,0895551A,"1ST FLOOR, WESLEY MEDICAL CENTRE, 40 CHASLEY STREET",AUCHENFLOWER,4066,YES,14-09-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,ICON CANCER CENTRE WINDSOR GARDENS,0067250F,"TENANCY 1, LEVEL 1, 480 NORTH EAST ROAD",WINDSOR GARDENS,5087,YES,23-08-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,ILLAWARRA PRIVATE CANCER CARE & RESEARCH CENTRE,0026930J,35 DENISON STREET,WOLLONGONG,2500,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,IMAGING @ OLYMPIC PARK,0044000L,"AAMI PARK SUITE 2, 60 OLYMPIC BOULEVARD",MELBOURNE,3000,YES,12-01-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,INGHAM HOSPITAL,0050570W,2-16 MCILWRAITH STREET,INGHAM,4850,NO,,
PUBLIC,VIC,INGLEWOOD AND DISTRICT HEALTH SERVICE,0030530L,3 HOSPITAL STREET,INGLEWOOD,3517,NO,,
PUBLIC,QLD,INGLEWOOD MULTIPURPOSE HEALTH SERVICE,0050580T,CUNNINGHAM HIGHWAY,INGLEWOOD,4387,NO,,
PUBLIC,QLD,INJUNE HOSPITAL,0050590L,FIFTH AVENUE,INJUNE,4454,NO,,
PRIVATE,NSW,INNER WEST ENDOSCOPY CENTRE,0657041B,311 MARRICKVILLE ROAD,MARRICKVILLE,2204,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,INNISFAIL HOSPITAL,0050600F,87 RANKIN STREET,INNISFAIL,4860,NO,,
PRIVATE,NSW,INSIGHT PRIVATE HOSPITAL,0656151F,"LEVEL 5, 470 WODONGA PLACE",ALBURY,2640,YES,23-11-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,NSW,INVERELL DISTRICT HOSPITAL,0011460L,41 SWANBROOK ROAD,INVERELL,2360,NO,,
PRIVATE,QLD,IPSWICH DAY HOSPITAL,0999431K,10 CHURCHILL STREET,IPSWICH,4305,YES,10-06-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,IPSWICH HOSPICE CARE,0055950J,"37 CHERMSIDE ROAD, EASTERN HEIGHTS",IPSWICH,4305,YES,08-07-22,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,QLD,IPSWICH HOSPITAL,0050610B,7 CHELMSFORD AVENUE,IPSWICH,4305,NO,,
PRIVATE,VIC,IVANHOE ENDOSCOPY CENTRE,0043400F,2/226 UPPER HEIDELBERG ROAD,IVANHOE,3079,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,IVANHOE HEALTH SERVICE,0011490H,11 COLUMBUS STREET,IVANHOE,2878,NO,,
PUBLIC,QLD,JACARANDA PLACE – QUEENSLAND ADOLESCENT EXTENDED TREATMENT CENTRE,0051970T,78 FARNELL STREET,CHERMSIDE,4032,NO,,
PUBLIC,SA,JAMESTOWN CAMPUS,0060230Y,43 SOUTH TERRACE,JAMESTOWN,5491,NO,,
PRIVATE,NSW,JAMISON STREET DAY SURGERY,0027540T,SUITE 151 - 1 JAMISON STREET,SYDNEY,2000,YES,13-12-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,JANDOWAE HOSPITAL,0050630Y,13 DALBY STREET,JANDOWAE,4410,NO,,
PUBLIC,NSW,JERILDERIE MULTI PURPOSE SERVICE,0011500Y,33-39 SOUTHEY STREET,JERILDERIE,2716,NO,,
PRIVATE,VIC,JESSIE MCPHERSON PRIVATE HOSPITAL,0035000Y,246 CLAYTON ROAD,CLAYTON,3168,YES,22-01-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,JOHN FAWKNER PRIVATE HOSPITAL,0035850A,275 MORELAND ROAD,COBURG,3058,YES,12-07-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,QLD,JOHN FLYNN PRIVATE HOSPITAL,0055820X,42 INLAND DRIVE,TUGUN,4224,YES,05-05-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,NSW,JOHN HUNTER HOSPITAL ROYAL NEWCASTLE CENTRE,0012790J,2 LOOKOUT ROAD,NEW LAMBTON,2305,NO,,
PRIVATE,WA,JOONDALUP HEALTH CAMPUS,0075530X,SHENTON AVENUE,JOONDALUP,6027,YES,31-03-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,QLD,JOYCE PALMER HEALTH SERVICE,0051070H,BEACH ROAD,PALM ISLAND,4816,NO,,
PUBLIC,QLD,JULIA CREEK MULTI-PURPOSE HEATH SERVICE,0050640X,1 BURKE STREET,JULIA CREEK,4823,NO,,
PUBLIC,NSW,JUNEE MULTI PURPOSE SERVICE,0011510X,67 BROADWAY STREET,JUNEE,2663,NO,,
PRIVATE,SA,KAHLYN DAY CENTRE,0065680Y,40 BRIANT ROAD,MAGILL,5072,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,WA,KALAMUNDA HOSPITAL,0071270K,ELIZABETH STREET,KALAMUNDA,6076,NO,,
PUBLIC,WA,KALBARRI HEALTH SERVICE,0071580X,KAIBER STREET,KALBARRI,6536,NO,,
PUBLIC,WA,KALEEYA HOSPITAL,0075390T,CNR STATON & WOLSELY RDS,EAST FREMANTLE,6158,NO,,
PUBLIC,WA,KALGOORLIE HEALTH CAMPUS,0070370T,PICCADILLY STREET,KALGOORLIE,6430,NO,,
PUBLIC,SA,KANGAROO ISLAND HEALTH SERVICE,0060270L,3-7 THE ESPLANADE,KINGSCOTE,5223,NO,,
PUBLIC,SA,KAPUNDA HOSPITAL,0060820Y,LOT 40 NASH STREET,KAPUNDA,5373,NO,,
PRIVATE,NSW,KAREENA PRIVATE HOSPITAL,0016510A,86 KAREENA ROAD,CARINGBAH,2229,YES,27-10-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,NSW,KARITANE,0010150L,CNR BUTTON AVENUE & LYDIA STREET,CARRAMAR,2163,NO,,
PUBLIC,SA,KAROONDA AND DISTRICT SOLDIERS' MEMORIAL HOSPITAL,0060650A,13 STOKES ROAD,KAROONDA,5307,NO,,
PUBLIC,WA,KARRATHA HEALTH CAMPUS,0071540F,62 BALMORAL ROAD,KARRATHA,6714,NO,,
PUBLIC,WA,KATANNING HOSPITAL,0070380L,CLIVE STREET,KATANNING,6317,NO,,
PUBLIC,NT,KATHERINE HOSPITAL,0095030H,GORGE ROAD,KATHERINE,850,NO,,
PRIVATE,QLD,KAWANA PRIVATE HOSPITAL,0056070K,"SUITE 14, LEVEL 1, 5 INNOVATION PARKWAY",BIRTINYA,4575,YES,18-12-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,VIC,KEILOR PRIVATE,0656671B,12A KENNEDY STREET,KEILOR,3036,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,KEITH & DISTRICT HOSPITAL INC,0065800H,35 HILL AVENUE,KEITH,5267,YES,20-12-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,WA,KELLERBERRIN MEMORIAL HOSPITAL,0070390K,51-63 GREGORY STREET,KELLERBERRIN,6410,NO,,
PUBLIC,NSW,KEMPSEY DISTRICT HOSPITAL,0011640J,119 RIVER STREET,KEMPSEY,2440,NO,,
PUBLIC,VIC,KERANG DISTRICT HEALTH,0030550J,13 BURGOYNE STREET,KERANG,3579,NO,,
PRIVATE,VIC,KEW ENDOSCOPY CENTRE,0043680B,"SUITE 5, 828 HIGH STREET",KEW EAST,3102,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,KILCOY HOSPITAL,0050660T,19 BROWN STREET,KILCOY,4515,NO,,
PUBLIC,WA,KING EDWARD MEMORIAL HOSPITAL,0070030L,374 BAGOT ROAD,SUBIACO,6008,NO,,
PUBLIC,TAS,KING ISLAND DISTRICT HOSPITAL AND HEALTH CENTRE,0080130T,EDWARD STREET,CURRIE,7256,NO,,
PUBLIC,QLD,KINGAROY HOSPITAL & COMMUNITY HEALTH CENTRE,0050670L,166 YOUNGMAN STREET,KINGAROY,4610,NO,,
PRIVATE,WA,KINGS PARK DAY HOSPITAL,0077040Y,"SUITE 1, 1 WALKER AVENUE",WEST PERTH,6005,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,KINGSGROVE DAY HOSPITAL,0658121W,"LEVEL 1, 322 KINGSGROVE ROAD",KINGSGROVE,2208,YES,11-08-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,KINGSTON CENTRE,0034170K,400 WARRIGAL ROAD,CHELTENHAM,3192,NO,,
PUBLIC,SA,KINGSTON SOLDIERS' MEMORIAL HOSPITAL,0060280K,CNR COOKE STREET AND YOUNG STREET,KINGSTON,5275,NO,,
PRIVATE,NSW,KINGSWAY DAY SURGERY,0027450W,533 KINGSWAY,MIRANDA,2228,YES,29-10-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,KNOX PRIVATE HOSPITAL,0036610J,262 MOUNTAIN HIGHWAY,WANTIRNA,3152,YES,01-06-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,KOGARAH PRIVATE HOSPITAL ,0027220J,"LEVEL 1, 1 DERBY STREET",KOGARAH,2217,YES,12-11-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,WA,KOJONUP HOSPITAL,0070400B,SPRING STREET,KOJONUP,6395,NO,,
PUBLIC,WA,KONDININ HOSPITAL,0070420Y,130 GRAHAM STREET,KONDININ,6367,NO,,
PUBLIC,VIC,KOOWEERUP REGIONAL HEALTH SERVICE,0031300X,215 ROSSITER ROAD,KOO WEE RUP,3981,NO,,
PUBLIC,WA,KUNUNOPPIN HOSPITAL,0070430X,LEAKE STREET,KUNUNOPPIN,6489,NO,,
PUBLIC,WA,KUNUNURRA HOSPITAL,0071050A,11 COOLIBAH DRIVE,KUNUNURRA,6743,NO,,
PUBLIC,NSW,KURRI KURRI DISTRICT HOSPITAL,0011540L,432 LANG STREET,KURRI KURRI,2327,NO,,
PUBLIC,VIC,KYABRAM & DISTRICT HEALTH SERVICES,0030590A,88 FENAUGHTY STREET,KYABRAM,3620,NO,,
PUBLIC,NSW,KYOGLE MEMORIAL MULTI PURPOSE SERVICE,0011550K,199 SUMMERLAND WAY,KYOGLE,2474,NO,,
PRIVATE,VIC,LA TROBE PRIVATE HOSPITAL,0036790K,CNR PLENTY ROAD AND KINGSBURY DRIVE,BUNDOORA,3083,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,QLD,LADY BJELKE-PETERSEN COMMUNITY HOSPITAL,0056020Y,31 MARKWELL STREET,KINGAROY,4610,YES,23-06-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,NSW,LADY DAVIDSON PRIVATE HOSPITAL,0017160Y,434 BOBBIN HEAD ROAD,NORTH TURRAMURRA,2074,YES,06-02-23,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
